symbol,min_date,max_date,rows_total,rows_in_window,window_start,window_end,coverage_ratio,status
000001.SZ,20230103,20260130,523,523,20220101,20260326,0.512,partial
000002.SZ,20210329,20250331,971,783,20220101,20260326,0.766,partial
000004.SZ,20210329,20220429,265,77,20220101,20260326,0.075,partial
000006.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000007.SZ,20220104,20260326,1019,1019,20220101,20260326,0.997,partial
000008.SZ,20210329,20260326,1210,1022,20220101,20260326,1.000,full
000009.SZ,20241206,20260130,281,281,20220101,20260326,0.275,partial
000010.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000011.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000012.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000014.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000016.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000017.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000019.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000020.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000021.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000025.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000026.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000027.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000028.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000029.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000030.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000031.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000032.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000034.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000035.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000036.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000037.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000039.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000042.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000045.SZ,20220104,20260326,1009,1009,20220101,20260326,0.987,partial
000048.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000049.SZ,20220104,20260326,1016,1016,20220101,20260326,0.994,partial
000050.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000055.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000056.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000058.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000059.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000060.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000061.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000062.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000063.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000065.SZ,20220104,20260326,1016,1016,20220101,20260326,0.994,partial
000066.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000068.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000069.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000070.SZ,20220104,20260326,1020,1020,20220101,20260326,0.998,partial
000078.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000088.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000089.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000090.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000096.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000099.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000100.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000151.SZ,20220104,20260326,1014,1014,20220101,20260326,0.992,partial
000153.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000155.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000156.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000157.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000158.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000159.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000166.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000301.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000333.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000338.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000400.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000401.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000402.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000403.SZ,20220104,20260326,1020,1020,20220101,20260326,0.998,partial
000404.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000407.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000408.SZ,20220104,20260326,1017,1017,20220101,20260326,0.995,partial
000409.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000410.SZ,20220104,20260326,1010,1010,20220101,20260326,0.988,partial
000411.SZ,20220104,20260326,1011,1011,20220101,20260326,0.989,partial
000415.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000417.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000419.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000420.SZ,20220104,20260326,1005,1005,20220101,20260326,0.983,partial
000421.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000422.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000423.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000425.SZ,20220104,20260326,1009,1009,20220101,20260326,0.987,partial
000426.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000428.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000429.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000430.SZ,20220104,20260326,1018,1018,20220101,20260326,0.996,partial
000488.SZ,20220104,20260326,1021,1021,20220101,20260326,0.999,partial
000498.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000501.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000503.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000504.SZ,20220104,20260326,1021,1021,20220101,20260326,0.999,partial
000505.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000506.SZ,20220104,20260326,1010,1010,20220101,20260326,0.988,partial
000507.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000509.SZ,20220104,20260326,1021,1021,20220101,20260326,0.999,partial
000510.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000513.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000514.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000516.SZ,20220104,20260326,1020,1020,20220101,20260326,0.998,partial
000517.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000518.SZ,20220104,20260326,1021,1021,20220101,20260326,0.999,partial
000519.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000520.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000521.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000523.SZ,20220104,20260326,1021,1021,20220101,20260326,0.999,partial
000524.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000525.SZ,20220104,20260326,995,995,20220101,20260326,0.974,partial
000526.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000528.SZ,20220104,20260326,1012,1012,20220101,20260326,0.990,partial
000529.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000530.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000531.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000532.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000533.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
000534.SZ,20220104,20260326,1022,1022,20220101,20260326,1.000,partial
