缺失股票数: 312
603081.SH {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1, 'miss_net_mf': 1, 'miss_net_rate': 1, 'miss_adj': 0}
603326.SH {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 2, 'miss_net_mf': 2, 'miss_net_rate': 2, 'miss_adj': 0}
689009.SH {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 497, 'miss_net_mf': 497, 'miss_net_rate': 497, 'miss_adj': 0}
920000.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920010.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920021.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920030.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920047.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920077.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920089.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920092.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920145.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920146.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920149.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920163.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
